experiment_id: claude-3p-25260
backend: claude
total_runs: 100
chameleon_wins: 75
non_chameleon_wins: 25
unknown: 0
total_time_s: 1005.3
avg_time_per_game_s: 10.1

win_method_summary:
  chameleon-guess: 31
  chameleon-votes: 44
  non-chameleon: 25

per_run_results:
  run=1, chameleon_won=True, win_method=chameleon-guess, elapsed_s=11.38
  run=2, chameleon_won=False, win_method=non-chameleon, elapsed_s=9.55
  run=3, chameleon_won=True, win_method=chameleon-votes, elapsed_s=9.02
  run=4, chameleon_won=True, win_method=chameleon-votes, elapsed_s=9.62
  run=5, chameleon_won=True, win_method=chameleon-votes, elapsed_s=10.09
  run=6, chameleon_won=True, win_method=chameleon-votes, elapsed_s=7.84
  run=7, chameleon_won=True, win_method=chameleon-guess, elapsed_s=10.25
  run=8, chameleon_won=True, win_method=chameleon-guess, elapsed_s=9.94
  run=9, chameleon_won=True, win_method=chameleon-guess, elapsed_s=10.02
  run=10, chameleon_won=True, win_method=chameleon-votes, elapsed_s=8.78
  run=11, chameleon_won=True, win_method=chameleon-votes, elapsed_s=8.76
  run=12, chameleon_won=False, win_method=non-chameleon, elapsed_s=7.78
  run=13, chameleon_won=True, win_method=chameleon-guess, elapsed_s=8.62
  run=14, chameleon_won=False, win_method=non-chameleon, elapsed_s=10.06
  run=15, chameleon_won=True, win_method=chameleon-guess, elapsed_s=10.61
  run=16, chameleon_won=True, win_method=chameleon-guess, elapsed_s=10.16
  run=17, chameleon_won=True, win_method=chameleon-votes, elapsed_s=7.65
  run=18, chameleon_won=True, win_method=chameleon-votes, elapsed_s=9.4
  run=19, chameleon_won=False, win_method=non-chameleon, elapsed_s=15.61
  run=20, chameleon_won=True, win_method=chameleon-votes, elapsed_s=8.06
  run=21, chameleon_won=True, win_method=chameleon-votes, elapsed_s=9.17
  run=22, chameleon_won=False, win_method=non-chameleon, elapsed_s=11.96
  run=23, chameleon_won=False, win_method=non-chameleon, elapsed_s=9.61
  run=24, chameleon_won=False, win_method=non-chameleon, elapsed_s=10.56
