experiment_id: gemini-4p-25265
backend: gemini
total_runs: 100
chameleon_wins: 95
non_chameleon_wins: 5
unknown: 0
total_time_s: 10209.8
avg_time_per_game_s: 102.1

win_method_summary:
  chameleon-guess: 64
  chameleon-votes: 31
  non-chameleon: 5

per_run_results:
  run=1, chameleon_won=True, win_method=chameleon-votes, elapsed_s=83.25
  run=2, chameleon_won=True, win_method=chameleon-guess, elapsed_s=105.23
  run=3, chameleon_won=True, win_method=chameleon-guess, elapsed_s=96.8
  run=4, chameleon_won=True, win_method=chameleon-guess, elapsed_s=120.86
  run=5, chameleon_won=True, win_method=chameleon-votes, elapsed_s=118.54
  run=6, chameleon_won=True, win_method=chameleon-guess, elapsed_s=92.72
  run=7, chameleon_won=True, win_method=chameleon-votes, elapsed_s=70.84
  run=8, chameleon_won=True, win_method=chameleon-guess, elapsed_s=84.03
  run=9, chameleon_won=True, win_method=chameleon-guess, elapsed_s=83.25
  run=10, chameleon_won=True, win_method=chameleon-votes, elapsed_s=63.15
  run=11, chameleon_won=True, win_method=chameleon-guess, elapsed_s=89.47
  run=12, chameleon_won=True, win_method=chameleon-guess, elapsed_s=95.9
  run=13, chameleon_won=True, win_method=chameleon-guess, elapsed_s=107.3
  run=14, chameleon_won=True, win_method=chameleon-guess, elapsed_s=93.79
  run=15, chameleon_won=True, win_method=chameleon-guess, elapsed_s=103.69
  run=16, chameleon_won=True, win_method=chameleon-votes, elapsed_s=92.78
  run=17, chameleon_won=True, win_method=chameleon-guess, elapsed_s=99.37
  run=18, chameleon_won=False, win_method=non-chameleon, elapsed_s=101.6
  run=19, chameleon_won=False, win_method=non-chameleon, elapsed_s=110.2
  run=20, chameleon_won=True, win_method=chameleon-guess, elapsed_s=86.66
  run=21, chameleon_won=True, win_method=chameleon-guess, elapsed_s=105.78
  run=22, chameleon_won=True, win_method=chameleon-guess, elapsed_s=103.89
  run=23, chameleon_won=True, win_method=chameleon-guess, elapsed_s=108.94
  run=24, chameleon_won=True, win_method=chameleon-guess, elapsed_s=95.13
  run=25, chameleon_won=True, win_method=chameleon-votes, elapsed_s=82.35
  run=26, chameleon_won=True, win_method=chameleon-guess, elapsed_s=115.05
  run=27, chameleon_won=True, win_method=chameleon-guess, elapsed_s=99.91
  run=28, chameleon_won=True, win_method=chameleon-guess, elapsed_s=89.3
  run=29, chameleon_won=True, win_method=chameleon-guess, elapsed_s=125.16
  run=30, chameleon_won=True, win_method=chameleon-votes, elapsed_s=107.36
  run=31, chameleon_won=True, win_method=chameleon-guess, elapsed_s=112.26
  run=32, chameleon_won=True, win_method=chameleon-guess, elapsed_s=88.14
  run=33, chameleon_won=True, win_method=chameleon-guess, elapsed_s=106.37
  run=34, chameleon_won=True, win_method=chameleon-guess, elapsed_s=77.52
  run=35, chameleon_won=True, win_method=chameleon-guess, elapsed_s=101.18
