experiment_id: gemini-5p-25278
backend: gemini
total_runs: 100
chameleon_wins: 97
non_chameleon_wins: 3
unknown: 0
total_time_s: 11419.8
avg_time_per_game_s: 114.2

win_method_summary:
  chameleon-guess: 49
  chameleon-votes: 48
  non-chameleon: 3

per_run_results:
  run=1, chameleon_won=True, win_method=chameleon-guess, elapsed_s=110.75
  run=2, chameleon_won=True, win_method=chameleon-guess, elapsed_s=89.83
  run=3, chameleon_won=True, win_method=chameleon-votes, elapsed_s=62.5
  run=4, chameleon_won=True, win_method=chameleon-votes, elapsed_s=70.45
  run=5, chameleon_won=True, win_method=chameleon-votes, elapsed_s=113.62
  run=6, chameleon_won=True, win_method=chameleon-votes, elapsed_s=81.93
  run=7, chameleon_won=True, win_method=chameleon-votes, elapsed_s=132.65
  run=8, chameleon_won=True, win_method=chameleon-guess, elapsed_s=122.88
  run=9, chameleon_won=True, win_method=chameleon-votes, elapsed_s=116.49
  run=10, chameleon_won=True, win_method=chameleon-votes, elapsed_s=134.98
  run=11, chameleon_won=True, win_method=chameleon-votes, elapsed_s=118.24
  run=12, chameleon_won=True, win_method=chameleon-guess, elapsed_s=166.32
  run=13, chameleon_won=True, win_method=chameleon-guess, elapsed_s=140.01
  run=14, chameleon_won=True, win_method=chameleon-votes, elapsed_s=123.87
  run=15, chameleon_won=True, win_method=chameleon-guess, elapsed_s=171.87
  run=16, chameleon_won=True, win_method=chameleon-votes, elapsed_s=147.87
  run=17, chameleon_won=True, win_method=chameleon-votes, elapsed_s=114.13
  run=18, chameleon_won=True, win_method=chameleon-votes, elapsed_s=135.42
  run=19, chameleon_won=True, win_method=chameleon-guess, elapsed_s=77.82
  run=20, chameleon_won=True, win_method=chameleon-votes, elapsed_s=91.71
  run=21, chameleon_won=True, win_method=chameleon-guess, elapsed_s=130.84
  run=22, chameleon_won=True, win_method=chameleon-votes, elapsed_s=95.91
  run=23, chameleon_won=True, win_method=chameleon-guess, elapsed_s=191.41
  run=24, chameleon_won=True, win_method=chameleon-votes, elapsed_s=80.78
  run=25, chameleon_won=True, win_method=chameleon-votes, elapsed_s=46.22
  run=26, chameleon_won=True, win_method=chameleon-votes, elapsed_s=144.62
  run=27, chameleon_won=True, win_method=chameleon-votes, elapsed_s=110.09
  run=28, chameleon_won=True, win_method=chameleon-guess, elapsed_s=122.67
  run=29, chameleon_won=True, win_method=chameleon-votes, elapsed_s=130.93
  run=30, chameleon_won=True, win_method=chameleon-guess, elapsed_s=106.4
  run=31, chameleon_won=True, win_method=chameleon-guess, elapsed_s=127.4
  run=32, chameleon_won=True, win_method=chameleon-guess, elapsed_s=222.94
  run=33, chameleon_won=True, win_method=chameleon-guess, elapsed_s=103.1
  run=34, chameleon_won=True, win_method=chameleon-guess, elapsed_s=143.86
  run=35, chameleon_won=True, win_method=chameleon-guess, elapsed_s=112.29
  run=36, chameleon_won=True, win_method=chameleon-votes, elapsed_s=80.04
  run=37, chameleon_won=True, win_method=chameleon-guess, elapsed_s=186.65
  run=38, chameleon_won=True, win_method=chameleon-guess, elapsed_s=164.41
  run=39, chameleon_won=True, win_method=chameleon-guess, elapsed_s=161.68
  run=40, chameleon_won=True, win_method=chameleon-votes, elapsed_s=94.58
  run=41, chameleon_won=True, win_method=chameleon-guess, elapsed_s=60.53
  run=42, chameleon_won=True, win_method=chameleon-votes, elapsed_s=90.97
  run=43, chameleon_won=True, win_method=chameleon-guess, elapsed_s=126.51
  run=44, chameleon_won=True, win_method=chameleon-guess, elapsed_s=222.09
